CompanyName,YearFounded,CompanyAge,CurrentValuation,InitialValuation,Industry,NumCompetitors,FounderSch,SchRanking,SeriesA,SeriesB,SeriesC,SeriesD,SeriesE,MthlyRecReturns,PeRatio,Success
CompanyA,2013,9,300,20,AI,18,MIT,1,2,1.5,0.67,0.08,0.11,740,15.1x,Yes
CompanyB,2002,20,450,50,Alternative Lending,18,Yale,2,0.6,0.38,1.73,0.3,0.15,184466,13.1x,Yes
CompanyC,2021,1,800,30,AI,18,Harvard,3,3,2,0.72,0.18,0.1,131350,39.0x,No
CompanyD,2020,2,300,4,Alternative Lending,18,Stanford,4,16.5,1.71,0.11,0.14,0.25,146284,10.6x,No
CompanyE,2003,19,400,35,AI,18,MIT,1,1,1.14,0.6,0.46,0.14,-56724,87.6x,Yes
CompanyF,2014,8,550,20,Alternative Lending,18,Yale,2,2,1.83,0.76,0.33,0.38,451361,49.3x,Yes
CompanyG,2013,9,300,20,AI,18,MIT,1,2,1.5,0.67,0.08,0.11,344423,9.3x,Yes
CompanyH,2002,20,450,50,Alternative Lending,18,Yale,2,0.6,0.38,1.73,0.3,0.15,336110,22.2x,Yes
CompanyI,2021,1,800,30,AI,18,Harvard,3,3,2,0.72,0.18,0.1,480772,112.1x,No
CompanyJ,2020,2,300,4,Alternative Lending,18,Stanford,4,16.5,1.71,0.11,0.14,0.25,-25968,10.9x,No
CompanyK,2003,19,400,35,AI,18,MIT,1,1,1.14,0.6,0.46,0.14,300021,18.4x,Yes
CompanyL,2014,8,550,20,Alternative Lending,18,Yale,2,2,1.83,0.76,0.33,0.38,401985,11.2x,Yes
CompanyM,2013,9,300,20,AI,18,MIT,1,2,1.5,0.67,0.08,0.11,182600,13.4x,Yes
CompanyN,2002,20,450,50,Alternative Lending,18,Yale,2,0.6,0.38,1.73,0.3,0.15,449236,12.7x,Yes
CompanyO,2021,1,800,30,AI,18,Harvard,3,3,2,0.72,0.18,0.1,407494,5.1x,No
CompanyP,2020,2,300,4,Alternative Lending,18,Stanford,4,16.5,1.71,0.11,0.14,0.25,180321,9.0x,No
CompanyQ,2003,19,400,35,AI,18,MIT,1,1,1.14,0.6,0.46,0.14,189987,5.7x,Yes
CompanyR,2014,8,550,20,Alternative Lending,18,Yale,2,2,1.83,0.76,0.33,0.38,-50516,70.8x,Yes
CompanyS,2013,9,300,20,AI,18,MIT,1,2,1.5,0.67,0.08,0.11,419506,15.7x,Yes
CompanyT,2002,20,450,50,Alternative Lending,18,Yale,2,0.6,0.38,1.73,0.3,0.15,-79466,15.7x,Yes
CompanyU,2021,1,800,30,AI,18,Harvard,3,3,2,0.72,0.18,0.1,-6142,4.0x,No
CompanyV,2020,2,300,4,Alternative Lending,18,Stanford,4,16.5,1.71,0.11,0.14,0.25,-48388,18.9x,No
CompanyW,2003,19,400,35,AI,18,MIT,1,1,1.14,0.6,0.46,0.14,120907,149.5x,Yes
CompanyX,2014,8,550,20,Alternative Lending,18,Yale,4,2,1.83,0.76,0.33,0.38,6921,17.3x,Yes
CompanyY,2013,9,300,20,AI,18,MIT,1,2,1.5,0.67,0.08,0.11,117592,9.5x,Yes
CompanyZ,2002,20,450,50,Alternative Lending,18,Yale,2,0.6,0.38,1.73,0.3,0.15,-10194,76.1x,Yes
CompanyAA,2021,1,800,30,AI,18,Harvard,3,3,2,0.72,0.18,0.1,270255,3.2x,No
CompanyAB,2020,2,300,4,Alternative Lending,18,Stanford,4,16.5,1.71,0.11,0.14,0.25,482076,10.1x,No
CompanyAC,2003,19,400,35,AI,18,MIT,1,1,1.14,0.6,0.46,0.14,-97195,9.2x,Yes
CompanyAD,2014,8,550,20,Alternative Lending,18,Yale,4,2,1.83,0.76,0.33,0.38,127736,12.2x,Yes
CompanyAE,2013,9,300,20,AI,18,MIT,1,2,1.5,0.67,0.08,0.11,-34735,32.4x,Yes
CompanyAF,2002,20,450,50,Alternative Lending,18,Yale,2,0.6,0.38,1.73,0.3,0.15,33011,27.8x,Yes
CompanyAG,2021,1,800,30,AI,18,Harvard,3,3,2,0.72,0.18,0.1,469804,12.8x,No
CompanyAH,2020,2,300,4,Alternative Lending,18,Stanford,4,16.5,1.71,0.11,0.14,0.25,241906,12.0x,No
CompanyAI,2003,19,400,35,AI,18,MIT,1,1,1.14,0.6,0.46,0.14,117309,17.7x,Yes
CompanyAJ,2014,8,550,20,Alternative Lending,18,Yale,2,2,1.83,0.76,0.33,0.38,207372,13.8x,Yes
