CompanyName,YearFounded,CurrentValuation,InitialValuation,Industry,NumCompetitors,SeriesA,SeriesB,SeriesC,SeriesD,SeriesE,Success
CompanyA,2013,300,20,1,18,2,1.5,0.67,0.08,0.11,1
CompanyB,2002,450,50,2,18,0.6,0.38,1.73,0.3,0.15,1
CompanyC,2021,800,30,1,18,3,2,0.72,0.18,0.1,0
CompanyD,2020,300,4,2,18,16.5,1.71,0.11,0.14,0.25,0
CompanyE,2003,400,35,1,18,1,1.14,0.6,0.46,0.14,1
CompanyF,2014,550,20,2,18,2,1.83,0.76,0.33,0.38,1
CompanyG,2013,300,20,1,18,2,1.5,0.67,0.08,0.11,1
CompanyH,2002,450,50,2,18,0.6,0.38,1.73,0.3,0.15,1
CompanyI,2021,800,30,1,18,3,2,0.72,0.18,0.1,0
CompanyJ,2020,300,4,2,18,16.5,1.71,0.11,0.14,0.25,0
CompanyK,2003,400,35,1,18,1,1.14,0.6,0.46,0.14,1
CompanyL,2014,550,20,2,18,2,1.83,0.76,0.33,0.38,1
CompanyM,2013,300,20,1,18,2,1.5,0.67,0.08,0.11,1
CompanyN,2002,450,50,2,18,0.6,0.38,1.73,0.3,0.15,1
CompanyO,2021,800,30,1,18,3,2,0.72,0.18,0.1,0
CompanyP,2020,300,4,2,18,16.5,1.71,0.11,0.14,0.25,0
CompanyQ,2003,400,35,1,18,1,1.14,0.6,0.46,0.14,1
CompanyR,2014,550,20,2,18,2,1.83,0.76,0.33,0.38,1
CompanyS,2013,300,20,1,18,2,1.5,0.67,0.08,0.11,1
CompanyT,2002,450,50,2,18,0.6,0.38,1.73,0.3,0.15,1
CompanyU,2021,800,30,1,18,3,2,0.72,0.18,0.1,0
CompanyV,2020,300,4,2,18,16.5,1.71,0.11,0.14,0.25,0
CompanyW,2003,400,35,1,18,1,1.14,0.6,0.46,0.14,1
CompanyX,2014,550,20,2,18,2,1.83,0.76,0.33,0.38,1
CompanyY,2013,300,20,1,18,2,1.5,0.67,0.08,0.11,1
CompanyZ,2002,450,50,2,18,0.6,0.38,1.73,0.3,0.15,1
CompanyAA,2021,800,30,1,18,3,2,0.72,0.18,0.1,0
CompanyAB,2020,300,4,2,18,16.5,1.71,0.11,0.14,0.25,0
CompanyAC,2003,400,35,1,18,1,1.14,0.6,0.46,0.14,1
CompanyAD,2014,550,20,2,18,2,1.83,0.76,0.33,0.38,1
CompanyAE,2013,300,20,1,18,2,1.5,0.67,0.08,0.11,1
CompanyAF,2002,450,50,2,18,0.6,0.38,1.73,0.3,0.15,1
CompanyAG,2021,800,30,1,18,3,2,0.72,0.18,0.1,0
CompanyAH,2020,300,4,2,18,16.5,1.71,0.11,0.14,0.25,0
CompanyAI,2003,400,35,1,18,1,1.14,0.6,0.46,0.14,1
CompanyAJ,2014,550,20,2,18,2,1.83,0.76,0.33,0.38,1
