CompanyName,YearFounded,CompanyAge,CurrentValuation,InitialValuation,Industry,NumCompetitors,SchRanking,SeriesA,SeriesB,SeriesC,SeriesD,SeriesE,MthlyRecReturns,PeRatio,Success
CompanyA,2013,9,300,20,1,18,1,2,1.5,0.67,0.08,0.11,740,15.1,1
CompanyB,2002,20,450,50,2,18,2,0.6,0.38,1.73,0.3,0.15,184466,13.1,1
CompanyC,2021,1,800,30,1,18,3,3,2,0.72,0.18,0.1,131350,39.0,0
CompanyD,2020,2,300,4,2,18,4,16.5,1.71,0.11,0.14,0.25,146284,10.6,0
CompanyE,2003,19,400,35,1,18,1,1,1.14,0.6,0.46,0.14,-56724,87.6,1
CompanyF,2014,8,550,20,2,18,2,2,1.83,0.76,0.33,0.38,451361,49.3,1
CompanyG,2013,9,300,20,1,18,1,2,1.5,0.67,0.08,0.11,344423,9.3,1
CompanyH,2002,20,450,50,2,18,2,0.6,0.38,1.73,0.3,0.15,336110,22.2,1
CompanyI,2021,1,800,30,1,18,3,3,2,0.72,0.18,0.1,480772,112.1,0
CompanyJ,2020,2,300,4,2,18,4,16.5,1.71,0.11,0.14,0.25,-25968,10.9,0
CompanyK,2003,19,400,35,1,18,1,1,1.14,0.6,0.46,0.14,300021,18.4,1
CompanyL,2014,8,550,20,2,18,2,2,1.83,0.76,0.33,0.38,401985,11.2,1
CompanyM,2013,9,300,20,1,18,1,2,1.5,0.67,0.08,0.11,182600,13.4,1
CompanyN,2002,20,450,50,2,18,2,0.6,0.38,1.73,0.3,0.15,449236,12.7,1
CompanyO,2021,1,800,30,1,18,3,3,2,0.72,0.18,0.1,407494,5.1,0
CompanyP,2020,2,300,4,2,18,4,16.5,1.71,0.11,0.14,0.25,180321,9.0,0
CompanyQ,2003,19,400,35,1,18,1,1,1.14,0.6,0.46,0.14,189987,5.7,1
CompanyR,2014,8,550,20,2,18,2,2,1.83,0.76,0.33,0.38,-50516,70.8,1
CompanyS,2013,9,300,20,1,18,1,2,1.5,0.67,0.08,0.11,419506,15.7,1
CompanyT,2002,20,450,50,2,18,2,0.6,0.38,1.73,0.3,0.15,-79466,15.7,1
CompanyU,2021,1,800,30,1,18,3,3,2,0.72,0.18,0.1,-6142,4.0,0
CompanyV,2020,2,300,4,2,18,4,16.5,1.71,0.11,0.14,0.25,-48388,18.9,0
CompanyW,2003,19,400,35,1,18,1,1,1.14,0.6,0.46,0.14,120907,149.5,1
CompanyX,2014,8,550,20,2,18,4,2,1.83,0.76,0.33,0.38,6921,17.3,1
CompanyY,2013,9,300,20,1,18,1,2,1.5,0.67,0.08,0.11,117592,9.5,1
CompanyZ,2002,20,450,50,2,18,2,0.6,0.38,1.73,0.3,0.15,-10194,76.1,1
CompanyAA,2021,1,800,30,1,18,3,3,2,0.72,0.18,0.1,270255,3.2,0
CompanyAB,2020,2,300,4,2,18,4,16.5,1.71,0.11,0.14,0.25,482076,10.1,0
CompanyAC,2003,19,400,35,1,18,1,1,1.14,0.6,0.46,0.14,-97195,9.2,1
CompanyAD,2014,8,550,20,2,18,4,2,1.83,0.76,0.33,0.38,127736,12.2,1
CompanyAE,2013,9,300,20,1,18,1,2,1.5,0.67,0.08,0.11,-34735,32.4,1
CompanyAF,2002,20,450,50,2,18,2,0.6,0.38,1.73,0.3,0.15,33011,27.8,1
CompanyAG,2021,1,800,30,1,18,3,3,2,0.72,0.18,0.1,469804,12.8,0
CompanyAH,2020,2,300,4,2,18,4,16.5,1.71,0.11,0.14,0.25,241906,12.0,0
CompanyAI,2003,19,400,35,1,18,1,1,1.14,0.6,0.46,0.14,117309,17.7,1
CompanyAJ,2014,8,550,20,2,18,2,2,1.83,0.76,0.33,0.38,207372,13.8,1
